route_type,decision_type,kind,reason_name,position,requires_explanation,audience
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client has disengaged,3,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,HSP CORI,6,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Incarcerated,7,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Match expired,8,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,SSP CORI,9,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Vacancy filled by other client,10,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Vacancy should not have been entered,11,false,
MatchRoutes::Default,MatchDecisions::ScheduleCriminalHearingHousingSubsidyAdmin,cancel,Other,12,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client deceased,0,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client has declined match,1,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client has disappeared,2,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client has disengaged,3,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,HSP CORI,6,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Incarcerated,7,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Match expired,8,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,SSP CORI,9,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Vacancy filled by other client,10,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Vacancy should not have been entered,11,false,
MatchRoutes::Default,MatchDecisions::ApproveMatchHousingSubsidyAdmin,cancel,Other,12,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Client has another housing option,0,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Client refused unit (non-SRO),1,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Client refused voucher,2,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Does not agree to services,3,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Does not want housing at this time,4,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Health and Safety,5,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Unsafe environment for this person,6,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Unwilling to live in SRO,7,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,decline,Unwilling to live in that neighborhood,8,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Client deceased,0,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Client has declined match,1,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Client has disappeared,2,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Client has disengaged,3,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,HSP CORI,6,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Incarcerated,7,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Match expired,8,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,SSP CORI,9,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Vacancy filled by other client,10,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Vacancy should not have been entered,11,false,
MatchRoutes::Default,MatchDecisions::RecordClientHousedDateHousingSubsidyAdministrator,cancel,Other,12,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Client deceased,0,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Client has declined match,1,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Client has disappeared,2,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Client has disengaged,3,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Client no longer eligible for match,4,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Client received another housing opportunity,5,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,HSP CORI,6,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Incarcerated,7,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Match expired,8,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,SSP CORI,9,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Vacancy filled by other client,10,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Vacancy should not have been entered,11,false,
MatchRoutes::Default,MatchDecisions::ConfirmMatchSuccessDndStaff,cancel,Other,12,false,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcknowledgesReceipt,cancel,Match expired,0,false,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcknowledgesReceipt,cancel,Vacancy filled by other client,1,false,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcknowledgesReceipt,cancel,Vacancy should not have been entered,2,false,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcknowledgesReceipt,cancel,Other,3,false,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcceptsClient,decline,Client refused offer,0,true,
MatchRoutes::ProviderOnly,MatchDecisions::ProviderOnly::HsaAcceptsClient,decline,Health and Safety,1,true,
